Anomaly detected: Source fe80::5424:887b:fabb:31da:dhcpv6-client Destination to ff02::1:2:dhcpv6-server
Anomaly detected: Source 0:0 Destination to 50:1
Anomaly detected: Source fe80::36e8:94ff:feb8:d628:0x0085 Destination to ff02::1:0x0000
Anomaly detected: Source 0:0 Destination to 89:1
Anomaly detected: Source fe80::5424:887b:fabb:31da:dhcpv6-client Destination to ff02::1:2:dhcpv6-server
Anomaly detected: Source 0:0 Destination to 81:1
Anomaly detected: Source fe80::cc1:f7ff:c5da:4eca:mdns Destination to ff02::fb:mdns
Anomaly detected: Source fe80::cc1:f7ff:c5da:4eca:0x008f Destination to ff02::16:0x0000
Anomaly detected: Source fe80::5424:887b:fabb:31da:59864 Destination to 2001:67c:1562::23:http
Anomaly detected: Source fe80::5424:887b:fabb:31da:37758 Destination to 2620:2d:4000:1::2a:http
Anomaly detected: Source fe80::36e8:94ff:feb8:d628:0x0087 Destination to fe80::5424:887b:fabb:31da:0x0000
Anomaly detected: Source 0:0 Destination to 87:1
Anomaly detected: Source 0:0 Destination to 92:1
Anomaly detected: Source 0:0 Destination to 85:1
Anomaly detected: Source fe80::5424:887b:fabb:31da:dhcpv6-client Destination to ff02::1:2:dhcpv6-server
Anomaly detected: Source 0:0 Destination to 78:1
Anomaly detected: Source fe80::5424:887b:fabb:31da:49012 Destination to 2620:2d:4000:1::2a:http
Anomaly detected: Source fe80::5424:887b:fabb:31da:50778 Destination to 2620:2d:4000:1::22:http
Anomaly detected: Source fe80::36e8:94ff:feb8:d628:0x0087 Destination to fe80::5424:887b:fabb:31da:0x0000
Anomaly detected: Source 0:0 Destination to 87:1
Anomaly detected: Source fe80::5424:887b:fabb:31da:dhcpv6-client Destination to ff02::1:2:dhcpv6-server
Anomaly detected: Source fe80::cc1:f7ff:c5da:4eca:mdns Destination to ff02::fb:mdns
Anomaly detected: Source fe80::36e8:94ff:feb8:d628:0x0085 Destination to ff02::1:0x0000
Anomaly detected: Source 0:0 Destination to 73:1
Anomaly detected: Source 0:0 Destination to 89:1
Anomaly detected: Source 0:0 Destination to 87:1
Anomaly detected: Source fe80::10db:56aa:7393:1cd8:mdns Destination to ff02::fb:mdns
Anomaly detected: Source fe80::5424:887b:fabb:31da:37554 Destination to 2620:2d:4000:1::2a:http
Anomaly detected: Source fe80::5424:887b:fabb:31da:54734 Destination to 2620:2d:4000:1::23:http
Anomaly detected: Source 0:0 Destination to 81:1
Anomaly detected: Source fe80::36e8:94ff:feb8:d628:0x0087 Destination to fe80::5424:887b:fabb:31da:0x0000
Anomaly detected: Source 0:0 Destination to 92:1
Anomaly detected: Source 0:0 Destination to 85:1
Anomaly detected: Source 0:0 Destination to 71:1
Anomaly detected: Source 0:0 Destination to 113:1
Anomaly detected: Source fe80::5424:887b:fabb:31da:45618 Destination to 2001:67c:1562::24:http
