iter	Passed	Remaining
403	29571	43624
404	29583	43462
405	29775	43563
406	29865	43513
407	29971	43487
408	29979	43320
409	29988	43153
410	29996	42987
411	30007	42826
412	30019	42667
413	30030	42506
414	30057	42370
415	30203	42401
416	30343	42423
417	30353	42263
418	30362	42102
419	30372	41943
420	30384	41787
421	30393	41629
4424	30466	412194425	30525	41130
426	30534	40974
427	30549	40827426	30551	40997
427	30660	40976
428	30736	40909
429	30745	40755
430	30756	40604
431	30812	40512
432	30824	40363
433	30838	40218
434	30850	40070
435	30861	39921
4438	30990	39602
439	31144	39638
440	31287	39659
441	31301	39516
442	31404	39486
443	31524	39476
444	31541	39338
445	31554	39195
446	31565	39050
447	31578	38909446	31539	39019
447	31551	38876
448	31562	38732
4451	31663	38388
452	31695	38272451	31753	38497
452	31946	38575
453	32118	38627
454	32384	38790
455	32434	38693
456	32563	38691
457	32646	38634
458	32842	38709
459	33035	38780
460	33130	38736
461	33314	38794
462	33420	38762
463	33517	38718
464	33709	38784
465	33876	38819
466	33992	38796
467	34009	38660
468	34020	38517
469	34028	38372
470	34038	38229
471	34049	38089
472	34061	37950
473	34073	37811
474	34085	37673
475	34122	37563
476	34209	37508
477	34219	37369
478	34229	37231
479	34240	37094
480	34251	36957
481	34261	36820
482	34273	36686
483	34284	36551
484	34297	36418
485	34312	36289
486	34468	36308
487	34577	36278
488	34765	36329
489	34862	36285
490	34881	36159
491	35115	36257
492	35182	36181
493	35376	36236
494	35436	36152
495	35581	36154
496	35639	36069
497	35732	36019
498	35791	35935
499	35799	35799
500	35808	35665
501	35816	35531
502	35824	35397
503	35868	35298
504	36002	35289
505	36104	35248
506	36113	35116
507	36123	34985
508	36134	34856
509	36147	34730
510	36309	34746
511	36391	34685
512	36408	34563
513	36444	34459
514	36479	34354
515	36508	34244
516	36527	34124
517	36546	34006
518	36616	33935
519	36629	33811
520	36643	33689
521	36654	33565
522	36664	33439
523	36673	33313
524	36682	33189
525	36697	33069
526	36707	32946
527	36723	32828
528	36830	32792
529	37193	32982
530	37353	32992
531	37366	32871
532	37424	32790
533	37442	32674
534	37453	32553
535	37635	32580
536	37655	32466
537	37672	32350
538	37688	32234
539	37701	32116
540	37717	32000
541	37731	31883
542	37747	31769
543	37762	31654
544	37778	31539
545	37791	31423
546	37804	31307
547	37818	31193
548	37832	31079
549	37847	30966
550	37862	30853
551	37961	30809
552	38017	30730
553	38046	30629
554	38056	30514
555	38068	30399
556	38079	30285
557	38089	30171
558	38099	30057
559	38152	29977
560	38200	29892
561	38216	29784
562	38313	29738
563	38525	29782
564	38592	29712
565	38625	29617
5568	38782	29376
569	38794	29266
570	38804	29154
571	38815	290568	38796	29386
569	38926	29365
570	39075	29358
571	39217	29344
572	39401	29361
573	39413	29251
574	39424	29140
575	39435	29028
576	39460	28928
577	39472	28819
578	39544	28753
579	39684	28737
580	39752	28668
581	39763	28558
582	39774	28449
583	39791	28344
584	39812	28243
585	39997	28257
586	40012	28152
58589	40392	28069
590	40469	28007
591	40569	27960
592	40688	27925
593	40745	27849
594	40788	27763
595	41001	27792
596	41149	27777
597	41158	27668
598	41165	27558
599	41175	27450
600	41233	27374
601	41243	27267
602	41253	27160
603	41295	27074
604	41304	26967
605	41335	26874
606	41364	26781
607	41374	2667606	41368	26783
607	41554	26791
608	41679	26760
609	41696	26658
610	41877	26661
611	42015	26637
612	42245	26670
613	42387	26647
614	42425	26559
615	42562	26532
616	42655	26478
617	42792	26451
618	42882	26394
619	43021	26368
620	43130	26322
621	43145	26220
622	43152	26113
623	43161	26007
624	43171	25902
625	43179	25797
626	43276	25745
627	43284	25639
628	43307	25543
629	43316	25439
630	43376	25365
631	43492	25324
632	43708	25341
633	43717	25237
634	43794	25173
635	43985	25173
636	44149	25158
637	44249	25106
638	44260	25004
639	44280	24907
640	44402	24867
641	44525	24829
642	44827	24888
643	44842	24788
644	44865	24693
645	44881	24594
646	44891	24492
647	44906	24393
648	44920	24294
649	44942	24199
650	44957	24101
651	45030	24034
652	45089	23960
653	45122	23871
654	45240	23828
655	45402	23808
656	45485	23746
657	45548	23674
658	45598	23594
659	45693	23539
660	45905	23543
661	46021	23497
662	46094	23429
663	46176	23366
664	46239	23293
665	46273	23206
666	46385	23157
667	46545	23133
668	46647	23079
669	46723	23013
670	46893	22992
671	46930	22906
672	46999	22836
673	47041	22753
674	47050	22653
675	47059	22555
676	47108	22475
677	47250	22440
678	47323	22372
679	47335	22275
680	47349	22179
681	47361	22083
682	47374	21987
683	47385	21891
684	47407	21800
685	47420	21705
686	47433	21610
687	47586	21579
688	47682	21523
689	47871	21507
690	47892	21416
691	47902	21320
692	47913	21225
693	47924	21130
694	47935	21036
695	47948	20943
696	47958	20848
697	47969	20754
698	48043	20688
699	48093	20611
700	48175	20548
701	48223	20470
702	48235	20378
703	48431	20363
704	48494	20292
705	48513	20202
706	48653	20163
707	48739	20101
708	48787	20024
709	48809	19936
710	49041	19933
711	49087	19855
712	49271	19833
713	49467	19814
714	49538	19746
715	49555	19655
716	49565	19563
717	49575	19471
718	49586	19379
719	49595	19287
720	49604	19195
721	49623	19107
722	49638	19017
723	49646	18925
724	49659	18836
725	49678	18749
726	49887	18733
727	50104	18720
728	50342	18714
729	50384	18635
730	50462	735	50701	18186
736	50717	18098
737	50733	50787	18405
734	50899	18351
735	50947	18274
736	51046	18216
737	51083	18135
738	51131	18058
739	51165	17977
740	51193	17893
741	51225	17811
742	51234	17721
743	51244	748	51744	51366	749	51399	17133
750	51428	17051
751	51563	17004
752	51663	16946
753	51722	16875
754	51852	16826
755	51937	16762
756	52115	16729
757	52127	16642
758	52137	16554
759	52146	16467
760	52155	16379
761	52757	52265	16686
758	52389	16634
759	52656	16628
760	52719	16557
761	52948	16537
762	52960	16450
763	53015	16376
764	53126	16319
765	53217	16256
766	53226	16169
767	53313	16105
768	53390	16038
769	53408	15953
770	53460	15878
771	53524	15807
772	53592	15738
773	53656	15667
774	53795	15618
775	53806	15531
776	53816	15445
777	53936	15390
778	54075	15341
779	54209	15289
780	54295	15225
781	54454	15180
782	54503	15104
783	54716	15075
784	54801	15009
785	54811	14923
786	54821	14837
787	54833	14752
788	54845	14667
789	54857	14582
790	54868	14497
791	54880	14413
792	54893	14329
793	54944	14254
794	55033	14190
795	55114	14124
796	55199	14059
797	55369	14015
798	55626	13993
799	55657	13914
800	55668	13830
801	55680	13746
802	55691	13662
803	55704	13579
804	55863	13532
805	55879	13449
806	56020	13397
807	56149	13342
808	56271	13285
809	56321	13211
810	56479	13162
811	56505	13082
812	56515	12999
813	56524	12915
814	56567	12840
815	56653	12774
816	56728	12706
817	56777	12632
818	56970	12590
819	57196	12555
820	57207	12472
821	57222	12391
822	57251	12312
823	57298	12238
824	57310	12156
825	57344	12079
826	57352	11997
827	57392	11922
